latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
28.34541,77.23108,307.94,0.35,0.57,2025-02-24,1956,N,VIIRS,n,2,282.69,1.06,N,2
28.34575,77.2321,304.81,0.35,0.57,2025-02-24,1956,N,VIIRS,n,2,282.51,0.6,N,2
28.34606,77.22849,296.67,0.35,0.57,2025-02-24,1956,N,VIIRS,n,2,281.65,0.6,N,2
28.36704,77.22626,305.75,0.35,0.57,2025-02-24,1956,N,VIIRS,n,2,282.64,0.53,N,0
28.66761,77.61013,317.95,0.33,0.55,2025-02-24,1956,N,VIIRS,n,2,282.86,1.2,N,0
28.66791,77.60666,305.94,0.33,0.55,2025-02-24,1956,N,VIIRS,n,2,282.26,1.2,N,0
28.67277,77.61073,300.81,0.33,0.55,2025-02-24,1956,N,VIIRS,n,2,282.49,0.51,N,0
28.67306,77.60725,299.58,0.33,0.55,2025-02-24,1956,N,VIIRS,n,2,283.16,0.51,N,0
28.74485,76.9276,300.89,0.37,0.58,2025-02-24,1956,N,VIIRS,n,2,282.98,0.72,N,2
28.75626,77.30865,305.42,0.35,0.57,2025-02-24,1956,N,VIIRS,n,2,283.17,0.66,N,0
28.7612,77.30843,304.65,0.35,0.57,2025-02-24,1956,N,VIIRS,n,2,283.26,0.66,N,0
28.76152,77.30923,301.77,0.35,0.57,2025-02-24,1956,N,VIIRS,n,2,283.1,0.36,N,0
28.77589,76.9464,315.17,0.37,0.58,2025-02-24,1956,N,VIIRS,n,2,283.28,1.05,N,0
28.81824,76.85255,295.17,0.37,0.58,2025-02-24,1956,N,VIIRS,n,2,282.47,0.24,N,0
27.84378,78.69289,330.01,0.35,0.57,2025-02-25,712,N,VIIRS,n,2,296.85,1.88,D,0
28.11278,79.56762,329.86,0.62,0.54,2025-02-25,712,N,VIIRS,n,2,297.31,3.86,D,0
28.49228,79.00845,326.17,0.33,0.55,2025-02-25,712,N,VIIRS,n,2,295.8,1.91,D,0
28.49304,79.01176,332.12,0.33,0.55,2025-02-25,712,N,VIIRS,n,2,296.96,1.91,D,0
28.86384,78.10257,327.03,0.36,0.58,2025-02-25,712,N,VIIRS,n,2,294.87,3.3,D,0
28.90675,78.05714,338.5,0.36,0.58,2025-02-25,712,N,VIIRS,n,2,295.76,2.63,D,0
28.90844,77.82807,329.16,0.38,0.58,2025-02-25,712,N,VIIRS,n,2,294.49,2.01,D,0
28.9398,78.1258,329.69,0.36,0.57,2025-02-25,712,N,VIIRS,n,2,297.45,3.78,D,0
29.03507,77.82585,334.45,0.37,0.58,2025-02-25,712,N,VIIRS,n,2,296.1,1.75,D,0
29.16362,77.39517,351.64,0.39,0.59,2025-02-25,712,N,VIIRS,n,2,294.77,3.79,D,0
29.16382,77.39542,351.71,0.39,0.59,2025-02-25,712,N,VIIRS,n,2,294.74,4.56,D,0
29.2828,77.24165,326.75,0.4,0.6,2025-02-25,712,N,VIIRS,n,2,292.17,1.8,D,0
29.29017,78.63634,330.75,0.33,0.55,2025-02-25,712,N,VIIRS,n,2,299.52,1.78,D,0
29.32122,78.02059,336.59,0.36,0.57,2025-02-25,712,N,VIIRS,n,2,294.7,2.65,D,0
29.4284,78.78043,325.96,0.32,0.55,2025-02-25,712,N,VIIRS,n,2,298.15,1.37,D,0
29.6661,77.73127,337.25,0.37,0.58,2025-02-25,712,N,VIIRS,n,2,295.74,4.1,D,0
29.6734,77.92619,342.01,0.36,0.57,2025-02-25,712,N,VIIRS,n,2,294.44,4.41,D,0
29.7548,77.78449,327.46,0.36,0.57,2025-02-25,712,N,VIIRS,n,2,295.64,1.7,D,0
29.79992,77.60577,325.76,0.37,0.58,2025-02-25,712,N,VIIRS,n,2,293.64,2.07,D,0
29.80988,77.64707,327.13,0.37,0.58,2025-02-25,712,N,VIIRS,n,2,292.19,2.16,D,0
29.98871,77.70261,331.47,0.36,0.57,2025-02-25,712,N,VIIRS,n,2,287.95,1.99,D,0
28.67537,77.24339,335.93,0.61,0.71,2025-02-25,852,N,VIIRS,n,2,291.11,3.1,D,0
28.67891,77.24184,330.16,0.61,0.71,2025-02-25,852,N,VIIRS,n,2,291.19,4.99,D,0
28.93374,77.99982,326.07,0.68,0.74,2025-02-26,653,N,VIIRS,n,2,292.71,3.99,D,0
29.45796,78.03364,331.15,0.66,0.73,2025-02-26,653,N,VIIRS,n,2,290.21,4.19,D,0
28.82887,79.56692,330.78,0.44,0.62,2025-02-26,833,N,VIIRS,n,2,294.82,2.14,D,0
28.89327,78.55579,334.79,0.38,0.59,2025-02-26,834,N,VIIRS,n,2,295.24,2.42,D,0
28.89347,78.55659,332.09,0.38,0.59,2025-02-26,834,N,VIIRS,n,2,295.3,2.17,D,0
29.08256,79.02321,327.01,0.41,0.61,2025-02-26,834,N,VIIRS,n,2,294.59,2.12,D,0
29.26804,77.77713,333.83,0.35,0.56,2025-02-26,834,N,VIIRS,n,2,296.82,2.42,D,0
29.27419,78.0103,347.33,0.36,0.57,2025-02-26,834,N,VIIRS,n,2,297.34,4.41,D,0
29.27639,78.00747,332.52,0.36,0.57,2025-02-26,834,N,VIIRS,n,2,295.82,2.59,D,0
29.2767,78.01126,334.63,0.36,0.57,2025-02-26,834,N,VIIRS,n,2,296.54,2.59,D,0
29.41504,77.7073,329.52,0.34,0.56,2025-02-26,834,N,VIIRS,n,2,297.53,2.12,D,0
29.78456,76.53919,337.9,0.59,0.53,2025-02-26,834,N,VIIRS,n,2,293.46,6.12,D,0
29.78611,76.53839,340.93,0.59,0.53,2025-02-26,834,N,VIIRS,n,2,293.88,10.35,D,0
29.78946,76.53867,342.72,0.59,0.53,2025-02-26,834,N,VIIRS,n,2,290.75,9.61,D,0
29.79056,78.88719,342.42,0.41,0.61,2025-02-26,834,N,VIIRS,n,2,295.1,5.56,D,0
29.79085,78.89146,350.0,0.41,0.61,2025-02-26,834,N,VIIRS,n,2,294.53,5.56,D,0
29.85811,76.98423,337.65,0.63,0.54,2025-02-26,834,N,VIIRS,n,2,294.58,3.91,D,0
29.87604,78.07427,333.05,0.37,0.58,2025-02-26,834,N,VIIRS,n,2,296.01,1.91,D,0
30.01647,79.47039,336.02,0.45,0.63,2025-02-26,834,N,VIIRS,n,2,284.45,4.02,D,0
26.64076,79.47801,299.48,0.59,0.52,2025-02-26,2059,N,VIIRS,n,2,286.71,0.88,N,2
26.64118,79.484,307.25,0.59,0.53,2025-02-26,2059,N,VIIRS,n,2,287.78,1.2,N,2
26.64245,79.47819,299.96,0.59,0.53,2025-02-26,2059,N,VIIRS,n,2,286.16,1.2,N,2
26.64551,79.47932,299.03,0.59,0.52,2025-02-26,2059,N,VIIRS,n,2,286.52,0.88,N,2
